CODE_RPG;LIBELLE_RPG;CODE_GROUPE_RPG;LIBELLE_GROUPE_RPG;CODE_CPS;LIBELLE_CPS;PBS_RHONE_ALPES;PBS_PACA;SCORE_IQE_RHONE_ALPES;SCORE_IQE_PACA;NIVEAU_IQE_RHONE_ALPES;NIVEAU_IQE_PACA
AAR;Plantes aromatiques herbacées non pérennes (< 5 ans) autres que persil;24;Autres cultures industrielles;I5000T;Plantes aromatiques, médicinales et condimentaires;2954.79;2954.79;2;2;Faible valeur economique;Faible valeur economique
AME;Plantes médicinales et à parfum non pérennes (< 5 ans);24;Autres cultures industrielles;I5000T;Plantes aromatiques, médicinales et condimentaires;2954.79;2954.79;2;2;Faible valeur economique;Faible valeur economique
ARP;Plante aromatique pérenne non arbustive ou arborée autre que la vanille;24;Autres cultures industrielles;I5000T;Plantes aromatiques, médicinales et condimentaires;2954.79;2954.79;2;2;Faible valeur economique;Faible valeur economique
LAV;Lavande et lavandin;24;Autres cultures industrielles;I5000T;Plantes aromatiques, médicinales et condimentaires;2954.79;2954.79;2;2;Faible valeur economique;Faible valeur economique
FNU;Fenugrec;24;Autres cultures industrielles;I5000T;Plantes aromatiques, médicinales et condimentaires;2954.79;2954.79;2;2;Faible valeur economique;Faible valeur economique
PPP;Plantes médicinales pérennes (arbres ou arbustes) sauf cassis;24;Autres cultures industrielles;I5000T;Plantes aromatiques, médicinales et condimentaires;2954.79;2954.79;2;2;Faible valeur economique;Faible valeur economique
PSL;Persil;24;Autres cultures industrielles;I5000T;Plantes aromatiques, médicinales et condimentaires;2954.79;2954.79;2;2;Faible valeur economique;Faible valeur economique
PME;Plantes médicinales pérennes (autres que arbres);25;Autres cultures industrielles;I5000T;Plantes aromatiques, médicinales et condimentaires;2954.79;2954.79;2;2;Faible valeur economique;Faible valeur economique
PRF;Plantes à parfum pérennes autres que lavande et lavandin;24;Autres cultures industrielles;I5000T;Plantes aromatiques, médicinales et condimentaires;2954.79;2954.79;2;2;Faible valeur economique;Faible valeur economique
BTN;Betterave;24;Autres cultures industrielles;R2000T;Betteraves  sucrières;2265.04;2265.04;2;2;Faible valeur economique;Faible valeur economique
CHV;Chanvre;9;Plantes à fibres;I2200T;Chanvre;1734.39;1537.3;1;1;Tres faible valeur economique;Tres faible valeur economique
TRN;Tournesol;6;Tournesol;I1120T;Tournesol;1727.35;1015.95;1;1;Tres faible valeur economique;Tres faible valeur economique
MIS;Maïs (hors maïs doux);2;Maïs grain et ensilage;C1500T;Maïs grain;1567.37;1523.62;1;1;Tres faible valeur economique;Tres faible valeur economique
MID;Maïs doux;2;Maïs grain et ensilage;C1500T;Maïs grain;1567.37;1523.62;1;1;Tres faible valeur economique;Tres faible valeur economique
BDH;Blé dur dhiver;4;Autres céréales;C1120T;Blé dur;1453.95;988.15;1;1;Tres faible valeur economique;Tres faible valeur economique
BDP;Blé dur de printemps;4;Autres céréales;C1120T;Blé dur;1453.95;988.15;1;1;Tres faible valeur economique;Tres faible valeur economique
CZH;Colza dhiver;5;Colza;I1110T;Colza ou navette;1436.75;936.07;1;1;Tres faible valeur economique;Tres faible valeur economique
CZP;Colza de printemps;5;Colza;I1110T;Colza ou navette;1436.75;936.07;1;1;Tres faible valeur economique;Tres faible valeur economique
CML;Cameline;24;Autres cultures industrielles;I1190T;Autres oléagineux;1363.79;1361.65;1;1;Tres faible valeur economique;Tres faible valeur economique
OHR;Autres oléagineux ou mélange d'oléagineux d'hiver (dont navette d'hiver);7;Autres oléagineux;I1190T;Autres oléagineux;1363.79;1361.65;1;1;Tres faible valeur economique;Tres faible valeur economique
MOT;Moutarde d'hiver;24;Autres cultures industrielles;I1190T;Autres oléagineux;1363.79;1361.65;1;1;Tres faible valeur economique;Tres faible valeur economique
OAG;Autres oléagineux ou mélange d'oléagineux de printemps et d'été (dont moutarde ou navette d'été, sésame et nyger);7;Autres oléagineux;I1190T;Autres oléagineux;1363.79;1361.65;1;1;Tres faible valeur economique;Tres faible valeur economique
BTP;Blé tendre de printemps;1;Blé tendre;C1110T;Blé tendre et épeautre;1312.61;738.93;1;1;Tres faible valeur economique;Tres faible valeur economique
EPE;Epeautre (petit épeautre ou engrain et grand épeautre);4;Autres céréales;C1110T;Blé tendre et épeautre;1312.61;738.93;1;1;Tres faible valeur economique;Tres faible valeur economique
BTH;Blé tendre dhiver;1;Blé tendre;C1110T;Blé tendre et épeautre;1312.61;738.93;1;1;Tres faible valeur economique;Tres faible valeur economique
SOJ;Soja;7;Autres oléagineux;I1130T;Soja;1231.69;1118.19;1;1;Tres faible valeur economique;Tres faible valeur economique
ORP;Orge de printemps;3;Orge;C1300T;Orge;1003.85;642.6;1;1;Tres faible valeur economique;Tres faible valeur economique
ORH;Orge d'hiver;3;Orge;C1300T;Orge;1003.85;642.6;1;1;Tres faible valeur economique;Tres faible valeur economique
TTH;Triticale dhiver;4;Autres céréales;C1600T_C1700T_C1900T;Autres céréales;991.53;707.09;1;1;Tres faible valeur economique;Tres faible valeur economique
SRS;Sarrasin;4;Autres céréales;C1600T_C1700T_C1900T;Autres céréales;991.53;707.09;1;1;Tres faible valeur economique;Tres faible valeur economique
TTP;Triticale de printemps;4;Autres céréales;C1600T_C1700T_C1900T;Autres céréales;991.53;707.09;1;1;Tres faible valeur economique;Tres faible valeur economique
